Thème (IT),Mot français,Genre grammatical,Singulier IT,Pluriel IT,Astuce mnémotechnique
100 verbi comuni,accepter,—,accettare,—,'Accettare' → 'accepter' (quasi identique)
100 verbi comuni,acheter,—,comprare,—,'Comprare' → penser à 'compra' (achat en espagnol)
100 verbi comuni,aider,—,aiutare,—,'Aiutare' → 'aide' + '-utare'
100 verbi comuni,aimer,—,amare,—,'Amare' → 'amour' (latin amor)
100 verbi comuni,aller,—,andare,—,'Andare' → à retenir absolument !
100 verbi comuni,appeler,—,chiamare,—,'Chiamare' → 'clameur' (appeler fort)
100 verbi comuni,apprendre,—,imparare,—,'Imparare' → 'impartir' un savoir
100 verbi comuni,arrêter,—,fermare,—,'Fermare' → 'fermer' (bloquer)
100 verbi comuni,attendre,—,aspettare,—,'Aspettare' → 'aspect' (regarder venir)
100 verbi comuni,avoir,—,avere,—,'Avere' → 'avoir' (très proche)
100 verbi comuni,boire,—,bere,—,'Bere' → court comme une gorgée !
100 verbi comuni,casser,—,rompere,—,'Rompere' → 'rompre' en français
100 verbi comuni,changer,—,cambiare,—,'Cambiare' → 'cambio' (change de monnaie)
100 verbi comuni,chanter,—,cantare,—,'Cantare' → 'chanter' (quasi identique)
100 verbi comuni,chercher,—,cercare,—,'Cercare' → 'cercle' (chercher en tournant)
100 verbi comuni,choisir,—,scegliere,—,'Scegliere' → irrégulier à retenir
100 verbi comuni,commencer,—,iniziare,—,'Iniziare' → 'initier'
100 verbi comuni,comprendre,—,capire,—,'Capire' → 'capter' (saisir)
100 verbi comuni,conduire,—,guidare,—,'Guidare' → 'guider'
100 verbi comuni,connaître,—,sapere,—,'Sapere' → 'savoir' (connaître par savoir)
100 verbi comuni,continuer,—,continuare,—,'Continuare' → 'continuer' (quasi identique)
100 verbi comuni,couper,—,tagliare,—,'Tagliare' → 'tailler'
100 verbi comuni,courir,—,correre,—,'Correre' → 'course'
100 verbi comuni,croire,—,credere,—,'Credere' → 'crédule' (qui croit)
100 verbi comuni,décider,—,decidere,—,'Decidere' → 'décider' (quasi identique)
